% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=323414, Fri Nov 28 18:42:16 2025
23 852 0.5679653839880646 1.3576778624931098 0.46094413505561294 0.46094413505561294 0.7333667579255044 0.7404069965040683 0.761306649399428 0.7872400752964164 0.8315646028211116 0.8592487523921009 0.8707157724009418 0.8763366587161717 0.8839184366489337 0.9269172015301547 0.9346194974175636 0.9435817392187267 0.9801924971342051 0.9948533281076888 1.0128062722657767 1.029463977991038 1.0439764123943662 1.075974081698254 1.1319418293033516 1.1518354043387946 1.3576778624931098
24 889 0.5427876638753347 1.3706642111476521 0.4484613514072456 0.4484613514072456 0.7281277300215859 0.7343952302957301 0.7535133527907878 0.7849611083473419 0.8192385047098634 0.8531109350733197 0.8578619657305802 0.8717343748360832 0.8794675556170851 0.920800987907435 0.9246465209932239 0.9361335389353569 0.9873679564491266 0.9987854878829007 1.0143090049676582 1.0305553060990236 1.0424493008419433 1.0904770684376666 1.1219537159678572 1.1648658975384243 1.3706642111476521
25 926 0.5172390062068016 1.3830733326384783 0.4294856963153157 0.4294856963153157 0.7191414912251004 0.7276576515356579 0.7498888184001408 0.7901195911932423 0.8096823835140189 0.851979757886165 0.8527134540841484 0.8765331681164021 0.8821557837464515 0.9144917082206996 0.9293573192468997 0.9416005192199006 0.978873793620914 0.9932309238811692 1.0074540754368118 1.0269950737373528 1.0399089066512788 1.1087696486805547 1.1232601907764614 1.163518983212072 1.3830733326384783
26 963 0.4854293533616248 1.4045291403678855 0.4138130151029692 0.4138130151029692 0.6999059758901801 0.7227045244411752 0.7490170155105513 0.7865371676293249 0.8049245677196216 0.8414586914701115 0.8477842044712115 0.8764117007537509 0.884782039779888 0.8991442928470662 0.9353895293822067 0.9476503047659404 0.9741040537519375 0.9891276927457348 1.0065080803249262 1.0292119057726805 1.0440196812723848 1.1051317668722485 1.1231461521110018 1.1522862882281995 1.4045291403678855
27 1000 0.44525555891880786 1.4238081569014134 0.40128602634384997 0.40128602634384997 0.6897085704408216 0.7215669742397495 0.742783764819539 0.778439558286188 0.8078456777217116 0.8295472835797504 0.8443787746137744 0.8764802285512834 0.8890550602149915 0.8976912626137049 0.9378736922237111 0.9424743308013724 0.9531041629215162 0.9895714343355161 1.0107455271384 1.029237096218289 1.0578160543996147 1.1040571028583008 1.127061116350315 1.1550712802146976 1.4238081569014134
28 1037 0.43144076292112155 1.4391832457227218 0.3835592973732015 0.3835592973732015 0.6878562760808278 0.7047598568629588 0.7438105984945764 0.7768828866023054 0.7954974067674264 0.8400221655790124 0.849771563882757 0.8728389137774565 0.881888858349851 0.8981272071376685 0.9329132011196191 0.9405914045044009 0.9530103190177076 0.9864521688961623 1.002644293223829 1.0243636518272783 1.056785480108018 1.1042729001304672 1.132475662350859 1.1665148883457062 1.4391832457227218
29 1074 0.42773470741283887 1.4362424884183165 0.37329416816339495 0.37329416816339495 0.6766225784044062 0.6958169716699901 0.7328324123624854 0.7674949883848591 0.7884757291358616 0.8367255398404799 0.8418044358929084 0.880720957043782 0.8885363204718146 0.8945955506398585 0.9285041723721867 0.9390766469218347 0.9666326180356739 0.9873065923159429 0.9956980749032622 1.0242381419339692 1.0496995334325496 1.0953777650418652 1.1332761970302192 1.1559853517089718 1.4362424884183165
30 1111 0.4002333983284688 1.4331080745915852 0.3633363484022401 0.3633363484022401 0.666824343072438 0.6910859422560157 0.7234682818411126 0.7600092661766873 0.7796685328616787 0.8293556111996824 0.842014458148089 0.8688891306880814 0.8850758672228536 0.8939669978046332 0.9236350889692632 0.9353549840416961 0.968930530619138 0.9863888070292515 1.000250946355828 1.0157095322545426 1.0518765092497906 1.0901518665893983 1.1323270437528972 1.1743627967768224 1.4331080745915852
31 1148 0.3914267312687964 1.4554990461706825 0.3473233669050055 0.3473233669050055 0.6656104647389861 0.6739088940341762 0.7242639277242016 0.7652836395117235 0.7740416455555489 0.8248424971909056 0.8476789260176333 0.8657718530465519 0.8818820527709038 0.8880054977188859 0.9144279435884141 0.9273142790152983 0.966596635447076 0.9681594111663862 0.9949451319322129 1.0230962618521913 1.062635673022956 1.0981977604858084 1.1178668705625052 1.1857740278163926 1.4554990461706825
32 1185 0.40364066247376207 1.4406679351443734 0.335172690131468 0.335172690131468 0.6593562646184999 0.680530617907469 0.719562269165995 0.7630157463839081 0.7740259292368971 0.8122240851051107 0.8338444406244805 0.8537223124841075 0.8811460976966418 0.9082798041469643 0.9188488224606609 0.9330162218725926 0.9700246081972256 0.9796196864256759 0.9954081284384362 1.0253663001072515 1.0636506927366198 1.1031475429665758 1.1184131474203516 1.1785971643562037 1.4406679351443734
33 1222 0.397318972779746 1.4339195051776437 0.32178971778002335 0.32178971778002335 0.6508904733980911 0.686475433140873 0.7195458278224532 0.7640378220772849 0.7714933274593527 0.8118050241765526 0.8276850277210547 0.8524012944085698 0.8646487138016397 0.8873609625681048 0.9256673779352877 0.9356625496688453 0.9613951659359511 0.9836773893254552 0.9919037274754605 1.0072090475300675 1.0572078451529496 1.1053664675387083 1.1269199571734565 1.2164160484897895 1.4339195051776437
34 1259 0.39588998612245996 1.4547247906504792 0.314194294630303 0.314194294630303 0.6386579007293154 0.6777953633690392 0.7112099343594797 0.7550578553507938 0.7814445244954934 0.8051555857291459 0.8208151134843472 0.8437324814344613 0.8721354183407917 0.8814215182740062 0.9292110952573567 0.9374141881221573 0.9531616733323699 0.9870894297574075 0.9898504462043402 1.0002870615394912 1.0638069981501403 1.0990561653606628 1.1322221652015114 1.2203964534291634 1.4547247906504792
35 1296 0.3930585548623042 1.4445155323226213 0.29597672121981355 0.29597672121981355 0.6241594334693107 0.6748093402148815 0.6996140023985621 0.7547600466633037 0.7797780719797447 0.8051586046131033 0.8167274413810117 0.8370860373602335 0.8744712165897839 0.8911176058216055 0.9325952345784647 0.9438753918263972 0.957536651596129 0.9781164323044426 0.999465226646968 1.01002389350073 1.0676663722404796 1.098938634397011 1.1398984914300057 1.220622939914594 1.4445155323226213
36 1333 0.4073222805127851 1.4407448597669728 0.2870323681028697 0.2870323681028697 0.6230932377350951 0.6750317910251861 0.6980085610634595 0.7557406458842987 0.777270047031974 0.7987135020032159 0.8106704117668939 0.8315631884037149 0.8702961168749349 0.8958447169338375 0.9276850340440634 0.9436605681404532 0.9500259704432734 0.9762980506839789 0.9932374059011903 1.0104582300094789 1.0755919118837942 1.0997536236543877 1.1544211473795325 1.2255302768552734 1.4407448597669728
37 1370 0.4198710876161107 1.4362469108071891 0.2767244735439936 0.2767244735439936 0.6227168170064376 0.6680517723236254 0.6950844474005622 0.7504500296477425 0.7712416025800621 0.7934203822909827 0.8094654087495188 0.833590962185089 0.8606893855506701 0.8988897284445236 0.9350513389142631 0.947013979449604 0.9650256992176989 0.9810492986266905 0.9938926086253879 1.0133748360912214 1.0587379475516365 1.1137582047306172 1.150331608144184 1.2256434869491823 1.4362469108071891
