% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=1034448, Mon Nov 24 21:49:53 2025, <python>{}</python>
1 38 2.2685147540223665 0 0 23.317871814413714 3.1728171619768006 1.2344112684322919 10.214915684101642 2.845366746373588 12.552068300182956 3.762565397220292 0.11305690411839486 1.1521962241093888 0.11359348164171093 0.7051847356756386 4.279838376646507 5.352909542850918 3.1849719061445616 5.433430736206488 4.0749376603799154 4.072992349116463 3.3527969204720356 0.11412941415845058 9.093873824011618 0.11353048854491353 5.581537702273889
2 75 2.148220798273652 0 0 22.31057323217262 2.988769441524746 1.1776889465419709 9.612478942867845 2.683005660778482 11.908822567015001 3.5185614352124603 0.10700202996453576 1.0884394686739238 0.10810502862469007 0.6603637147073096 3.973487966096512 5.151938931958393 3.0311414010086963 5.048684442068846 3.8506864392716516 3.7727569135246877 3.1316476262464135 0.10757333986853325 8.651877351979731 0.10769907118139119 5.307381940637226
3 112 1.9308937616452744 0 0 19.992128002557155 2.6805620270316335 1.0573145999483777 8.535572524188812 2.409394659918262 10.664338684488238 3.125509457561112 0.09635458101583609 0.9709693848030551 0.09685533520952128 0.5910989703229598 3.554343129719534 4.633348738790047 2.705793285268375 4.5570123456600475 3.3871360795713854 3.310900645045303 2.8062579487136916 0.09731081230327515 7.736099341487871 0.09654261880075829 4.7040370847467425
4 149 1.7386851453282361 0 0 18.03353336206586 2.431724951080416 0.9432087586964083 7.644795208494634 2.128086993440505 9.475622724086968 2.798620594457458 0.08535573344840766 0.8762922274165648 0.08840743365742088 0.5300846718913347 3.204540169748429 4.108362348156303 2.428085177261531 4.072653601857614 3.0516309906765375 2.9519011675565445 2.501295469594601 0.08802224275867057 6.997307153785561 0.08669520224906331 4.238460085701927
5 186 1.6535865092720967 0 0 16.855044632174323 2.303141190730683 0.900621920327934 7.242149054018633 2.044360392400906 8.945407660452396 2.622993364331856 0.08106280299276339 0.8335649541111557 0.08300678237660579 0.5067833444809563 3.054462072649417 3.8802655891523163 2.320599282527909 3.9282326399282157 2.8934445537544105 2.7171238100672914 2.3926390798156287 0.08397166661901685 6.663170611342425 0.08203426349819805 4.031349664252536
6 223 1.6172759875995473 0 0 16.675918156752406 2.2417916666398536 0.8777891842738706 6.951404162451325 1.9800921857514016 8.665618842156604 2.539440925264991 0.0785911157037426 0.8160931674839591 0.08112832902070603 0.49483871827899634 2.9452779252288335 3.8174099951483518 2.2715803695799983 3.8466025609913586 2.878143566361609 2.587876096033448 2.330057669625529 0.08295715122199246 6.555415142281507 0.08026777402647559 3.931661347372946
7 260 1.5092907785408776 0 0 15.543915885994565 2.111499542654386 0.8224172222424067 6.405400849321667 1.846735421007327 8.050233888545229 2.377643488964584 0.07193208269797063 0.7598049107019641 0.07572111867063924 0.4604420119560414 2.718636599506472 3.5630635820421177 2.117326232860537 3.5595482990459413 2.6809678430478927 2.3709073638311455 2.1731367129443666 0.0767169977167095 6.142401324621076 0.07483521682622515 3.6260644993980735
8 297 1.39831455087118 0 0 14.274002792636457 1.9209118418417597 0.7541066339958338 5.940587711824942 1.6912907454966895 7.403934246705653 2.1907608717924614 0.06620859346837372 0.7069215977786117 0.07024226842821377 0.4280920626908824 2.4643030810288424 3.303520816023125 1.9543807770616788 3.32946533322282 2.4909831110071887 2.1563158243729523 2.0387453224654783 0.07125509680459577 5.688261172441278 0.06907786966767997 3.330622461256677
9 334 1.2885181632748945 0 0 13.287375827488736 1.7636327537620413 0.699139853180317 5.44340855678586 1.552031717515609 6.80615353154499 2.0134525105655943 0.06018467829021303 0.6514414269961685 0.06383447473886733 0.39778059136500993 2.250731587120002 3.0444609354435035 1.8118870866059478 3.0958427834151507 2.2734784793309166 1.9321268190617864 1.88996141380781 0.06479870878011575 5.246304675435782 0.0639459539858638 3.0732308819961287
10 371 1.188735771974815 0 0 12.18737934446498 1.623544859187633 0.6503324288675109 4.96667622183496 1.4253424709835902 6.262471395346377 1.8370587934884723 0.055184878143978267 0.5996334846339043 0.05916321042720322 0.36631583283242036 2.070097705465248 2.7937153343066248 1.6597682353269725 2.8434222629299746 2.100897804676805 1.7630449617349955 1.7414003723315672 0.05916178016065248 4.860142965013881 0.05876423749638125 2.8224893044570933
11 408 1.1303440915859901 0 0 11.59741843344974 1.5519497371108255 0.6134485164409956 4.7138999544418425 1.3477482374827077 5.893804907131979 1.7375893863255054 0.05207115256649986 0.5681318352671465 0.056312532524484024 0.3452689646781332 1.9317516236283958 2.6470195162129544 1.5956051849717423 2.7165321586223086 2.0071256070418104 1.671260159513539 1.6180886240655201 0.0560498548162811 4.698843161532558 0.05592113576937483 2.6802314427345015
12 445 1.0651877744385727 0 0 10.90514333406258 1.4629113769290207 0.5750524592008439 4.393660291772032 1.2733139144478596 5.540973341087987 1.646245627509021 0.04898780696162153 0.5264049681199886 0.053187978321404816 0.323954895131194 1.7736706970958114 2.508573067706745 1.513565885213652 2.5861239889881436 1.9020390230148592 1.5419756048218545 1.5264002713267586 0.05252048978001755 4.388399952460368 0.05203913582874494 2.5600051854291905
13 482 1.032292915814489 0 0 10.476198444152214 1.409680558749924 0.5592699627353259 4.327199108765483 1.2406622345080907 5.369911011736814 1.6006890760286419 0.04721916086140244 0.5178561984236267 0.05106818314942378 0.3102092775942349 1.6829936430870713 2.4132339869600448 1.4720773878274147 2.485001866630667 1.8513751649071726 1.450183232440879 1.4818581235048327 0.051243749377343856 4.206185356727111 0.050582730714238265 2.513621381901623
14 519 0.9436692724052079 0 0 9.608727484439699 1.2970441877746177 0.5102558991094186 3.9180857697793074 1.139493095964398 4.974819665966479 1.4572208339294062 0.04279658158071476 0.4709014534885834 0.04666433226386014 0.283867181631593 1.5178537634183475 2.1775473798487925 1.3718367724695828 2.2764289899870875 1.6880769331722258 1.3149172808276712 1.3601836615140974 0.04674772083895059 3.8278083330642447 0.04572211127055329 2.2821310802564576
