% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, further/more values", seed=1034448, Mon Nov 24 21:49:53 2025, <python>{}</python>
1 38 2.2685147540223665 1.0000477284116918 1.5110808953532224 2.2174582587644904e+00 12.123430855865646 44.67201097056021 20.204727775839345 6.206884966705106 nan   
2 75 2.148220798273652 1.139949061626267 1.5110808953532224 2.2700166806388116e+00 10.081657950215773 40.293343074270915 17.49023811181135 5.6551966939420275 nan   
3 112 1.9308937616452744 1.18995422245019 1.5110808953532224 3.1041068672774310e+00 10.51749582958055 61.93132092802771 9.66121244507206 7.230232061321544 nan   
4 149 1.7386851453282361 1.2619640295799512 1.5110808953532224 2.0239107532324421e+00 9.153911618947602 29.523988938985028 9.681172790963089 6.174554245474462 nan   
5 186 1.6535865092720967 1.338264080284519 1.5110808953532224 2.2896735263367476e+00 6.815263186393066 26.623651623500873 6.871253914788192 4.7329559708465405 nan   
6 223 1.6172759875995473 1.399045633340848 1.5110808953532224 1.5259598307134943e+00 8.488100863927613 35.69568979215356 8.032061883441576 5.26089553962111 nan   
7 260 1.5092907785408776 1.4719692407624845 1.5110808953532224 1.6456302250966051e+00 9.042762128237321 35.63191352230062 8.51637170973967 6.114835400463533 nan   
8 297 1.39831455087118 1.580093190188964 1.5110808953532224 1.7870545918031542e+00 5.733568819280356 32.801211559947895 5.880689474913627 3.475791161741814 nan   
9 334 1.2885181632748945 1.6312325339631109 1.5110808953532224 1.8189283042114708e+00 5.994548026035274 28.099648183179045 7.260131683337808 3.0160379901016023 nan   
10 371 1.188735771974815 1.737449711319496 1.5110808953532224 1.7597822790773336e+00 4.428778230369489 18.160047422019222 3.98147048272476 2.9215040006863915 nan   
11 408 1.1303440915859901 1.8066142080183833 1.5110808953532224 1.6813709525046978e+00 3.2283173400218574 17.695524951364916 4.035667852814646 2.7327120381995926 nan   
12 445 1.0651877744385727 1.8963463115365526 1.5110808953532224 1.5887628533846383e+00 3.456337817213054 10.643740383458733 4.092094793533265 2.311991650713343 nan   
13 482 1.032292915814489 1.950579905468682 1.4427107645379595 1.4427107645379595e+00 5.428825237893365 15.008555316097377 5.849577575279725 2.34245864116395 nan   
14 519 0.9436692724052079 2.0393357079232555 1.359849165163408 1.3598491651634079e+00 3.1099449702693445 9.670950011615595 3.1001177079961084 2.0062605795245205 nan   
15 556 0.9439962193590838 2.0830216370951833 1.359849165163408 1.5418220755491638e+00 3.639100322056954 7.502318975269689 2.0233874903070648 2.3277158903211577 nan   
16 593 0.9155041354866087 2.140450143736377 1.359849165163408 1.5090925622487210e+00 2.797596772065846 8.607424739544468 1.4149434445045816 2.1723929114868383 nan   
17 630 0.8770761347809596 2.2324593016278986 1.359849165163408 1.5559296307591224e+00 2.7239341938868753 8.165579875445433 3.247397235850761 2.1205596434192038 nan   
18 667 0.7856791808311384 2.3027136189047352 1.3486263327365804 1.3486263327365804e+00 2.8410367334316695 11.598915212386398 2.0108716293231463 2.080647833367867 nan   
19 704 0.7952301986493159 2.4108725484390696 1.3486263327365804 1.5241798722259301e+00 2.7709375120746604 7.78704012605319 2.1583623160387315 1.7434102746206641 nan   
20 741 0.7799493664436259 2.56591000561675 1.3390114026785185 1.3390114026785185e+00 2.456531314726337 7.248058428323141 1.9226909208307497 1.801522906533608 nan   
21 778 0.7752186663938334 2.664344910812238 1.3390114026785185 1.4688312815344020e+00 2.147559696993076 8.10027733162049 1.0787566918362763 1.7694182327795283 nan   
22 815 0.7172170329098493 2.7515906302483613 1.3390114026785185 1.3501710942937628e+00 2.5373718596409502 198.5104145772722 2.2354743792664014 1.7406598398585693 nan   
23 852 0.6545335001501619 2.8973019676552223 1.3390114026785185 1.4075971323503980e+00 2.571513091485541 9.349508058929008 1.2877929758802544 1.9798212521730938 nan   
