% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=1034448, Mon Nov 24 21:49:53 2025
1 38 2.2685147540223665 1.0000477284116918 1.0 1.0 1.0000022727298554 1.000004545464876 1.000006818205062 1.0000090909504133 1.00001136370093 1.000013636456612 1.0000159092174594 1.0000181819834721 1.0000204547546503 1.0000227275309936 1.0000250003125026 1.0000272730991768 1.0000295458910167 1.000031818688022 1.0000340914901926 1.0000363642975287 1.0000386371100303 1.0000409099276972 1.0000431827505298 1.000045455578528 1.0000477284116918
2 75 2.148220798273652 1.065441659678816 0.9346397093909111 0.9346397093909111 0.944183055794455 0.9535638592101495 0.9699706677466319 0.9751824092623345 0.976417606226549 0.9863588842166748 0.9904226286133933 0.9914620179956553 0.9930684051456795 0.9965369088529717 0.9973615731581906 1.0001535443040992 1.001736733916535 1.0019737375197297 1.0039475506982207 1.0094558003344676 1.0133370374361648 1.0230442443964125 1.029743690430406 1.0319001713767004 1.065441659678816
3 112 1.9308937616452744 1.0887250076869452 0.9149301604604525 0.9149301604604525 0.9210955356373781 0.9374546032604267 0.9521456855031982 0.9572479114666466 0.9640256181437191 0.9698724771283704 0.9728091318252242 0.9806128726297906 0.9846357210774769 0.9865009185182928 0.9904981289719617 0.9938397742857153 1.0066267249822127 1.0110711891259228 1.0164042313429218 1.0199747128953607 1.029674609130186 1.0317256416532137 1.0423018796839854 1.0439673809061496 1.0887250076869452
4 149 1.7386851453282361 1.107305366355177 0.877446060585219 0.877446060585219 0.914730591281489 0.9299063180370504 0.9337749446718371 0.9470687440950466 0.9545030782340153 0.9559711774720274 0.9613750479454691 0.9684135730442888 0.9769844206094846 0.9832982205582969 0.9876980875955752 0.9946587035115806 0.9961261696123321 1.0020402455076558 1.0137320294622951 1.0190611913855343 1.0252736792160173 1.0391678532964437 1.0474500678015044 1.0552187455737378 1.107305366355177
5 186 1.6535865092720967 1.1305581492402699 0.844794510960729 0.844794510960729 0.8928701093515867 0.9226761239634851 0.9252785931360713 0.9344427285773741 0.9420638765191355 0.9476679078449082 0.9519407566725923 0.9577449881125406 0.9638469115644581 0.9753832739327439 0.9788193617268799 0.9841809587515665 0.9940986025097693 1.0079178378102005 1.0097636072560614 1.0310232536867108 1.038440110174894 1.046383710062392 1.0536323603820323 1.0596577070731297 1.1305581492402699
6 223 1.6172759875995473 1.1388325976303146 0.8140067560990428 0.8140067560990428 0.8768842568759753 0.8899158373218874 0.9106888859382037 0.9326106678514835 0.9373750524264705 0.9420593700604785 0.9486698643261571 0.9517861502080509 0.9653168547387744 0.9671541146334725 0.9732418476784597 0.990293672719203 0.995046181220698 0.9997255093411003 1.0164722840179807 1.0317021609747719 1.0438133382926837 1.051958136419168 1.0685222923509234 1.0780329176215957 1.1388325976303146
7 260 1.5092907785408776 1.1659986649660397 0.7921352108975109 0.7921352108975109 0.8524350750022476 0.8752952888070831 0.9003267286792478 0.9024117998523588 0.9215783871627554 0.9339263911177177 0.9441604857915453 0.9498401768783252 0.9602215304697914 0.9673592931463508 0.9757777554914574 0.9838454689119338 0.9940556253931986 1.004178205440991 1.0198261007124636 1.0283601801731717 1.0475176515393723 1.0635115658628305 1.079973248170844 1.0881031268143755 1.1659986649660397
8 297 1.39831455087118 1.1830091802965172 0.7486958286017552 0.7486958286017552 0.8590085865392305 0.8650288458321721 0.8903686339105045 0.8948048925639316 0.9092780489953948 0.9184143378754138 0.9316217577795983 0.9466502589298007 0.9499704883105936 0.9639359628582871 0.9747930329681415 0.9821753843327365 0.9894953661023786 1.0035517211553933 1.0223390152989562 1.0358824036175749 1.0524765999709988 1.054904761823252 1.0784681129299154 1.0983892119331955 1.1830091802965172
9 334 1.2885181632748945 1.1831945568457352 0.7253377628333229 0.7253377628333229 0.8356172654792485 0.8533769274297579 0.8647059367787132 0.8934122444716212 0.8981190302414478 0.9085447672705642 0.9229359221826401 0.9347464680575222 0.9472125213044346 0.9593979587586803 0.9721578985569714 0.9767345070647241 0.9961197262716467 1.0055492395509167 1.019821925489682 1.0387532795899677 1.0548526483447427 1.0645871169193102 1.0747356020821863 1.12527446655039 1.1831945568457352
10 371 1.188735771974815 1.187434901154813 0.6834355512097225 0.6834355512097225 0.8255058199315769 0.8389907511714149 0.8535371678054746 0.8916066690905364 0.8959814170528863 0.8972775184198513 0.9119475070531412 0.9358664647695027 0.9539718483341976 0.9573053856426956 0.9705449902181249 0.9915832107389954 0.9942844088480884 1.008383306866823 1.0125144058458855 1.0460630813716052 1.054505434097649 1.0648494935574278 1.0800125904391507 1.1360616287720564 1.187434901154813
